participantId,prolificId,eventType,questionId,question,optionA,optionB,choice,taskLabel,probability,certainAmount,trialIndex,indifferencePoint
"P648615","65cd164122345f20629bede9","fixedChoice",8,"Which would you prefer?","60% Chance of $66","100% Chance of $56","B","money","0.6","56","NA","NA"
"P648615","65cd164122345f20629bede9","fixedChoice",19,"Which would you prefer?","85% Chance of $66 worth of eggrolls","100% Chance of $56 worth of eggrolls","B","eggrolls","0.85","56","NA","NA"
"P648615","65cd164122345f20629bede9","fixedChoice",22,"Which would you prefer?","85% Chance of $66 worth of eggrolls","100% Chance of $20 worth of eggrolls","B","eggrolls","0.85","20","NA","NA"
"P648615","65cd164122345f20629bede9","fixedChoice",7,"Which would you prefer?","85% Chance of $66","100% Chance of $56","A","money","0.85","56","NA","NA"
"P648615","65cd164122345f20629bede9","fixedChoice",16,"Which would you prefer?","85% Chance of $33 worth of eggrolls","100% Chance of $10 worth of eggrolls","A","eggrolls","0.85","10","NA","NA"
"P648615","65cd164122345f20629bede9","fixedChoice",5,"Which would you prefer?","60% Chance of $33","100% Chance of $10","B","money","0.6","10","NA","NA"
"P648615","65cd164122345f20629bede9","fixedChoice",10,"Which would you prefer?","85% Chance of $66","100% Chance of $20","B","money","0.85","20","NA","NA"
"P648615","65cd164122345f20629bede9","fixedChoice",4,"Which would you prefer?","85% Chance of $33","100% Chance of $10","A","money","0.85","10","NA","NA"
"P648615","65cd164122345f20629bede9","fixedChoice",6,"Which would you prefer?","30% Chance of $33","100% Chance of $10","B","money","0.3","10","NA","NA"
"P648615","65cd164122345f20629bede9","fixedChoice",14,"Which would you prefer?","60% Chance of $33 worth of eggrolls","100% Chance of $28 worth of eggrolls","B","eggrolls","0.6","28","NA","NA"
"P648615","65cd164122345f20629bede9","fixedChoice",13,"Which would you prefer?","85% Chance of $33 worth of eggrolls","100% Chance of $28 worth of eggrolls","B","eggrolls","0.85","28","NA","NA"
"P648615","65cd164122345f20629bede9","fixedChoice",24,"Which would you prefer?","30% Chance of $66 worth of eggrolls","100% Chance of $20 worth of eggrolls","B","eggrolls","0.3","20","NA","NA"
"P648615","65cd164122345f20629bede9","fixedChoice",9,"Which would you prefer?","30% Chance of $66","100% Chance of $56","B","money","0.3","56","NA","NA"
"P648615","65cd164122345f20629bede9","fixedChoice",3,"Which would you prefer?","30% Chance of $33","100% Chance of $28","B","money","0.3","28","NA","NA"
"P648615","65cd164122345f20629bede9","fixedChoice",11,"Which would you prefer?","60% Chance of $66","100% Chance of $20","B","money","0.6","20","NA","NA"
"P648615","65cd164122345f20629bede9","fixedChoice",18,"Which would you prefer?","30% Chance of $33 worth of eggrolls","100% Chance of $10 worth of eggrolls","B","eggrolls","0.3","10","NA","NA"
"P648615","65cd164122345f20629bede9","fixedChoice",2,"Which would you prefer?","60% Chance of $33","100% Chance of $28","B","money","0.6","28","NA","NA"
"P648615","65cd164122345f20629bede9","fixedChoice",20,"Which would you prefer?","60% Chance of $66 worth of eggrolls","100% Chance of $56 worth of eggrolls","B","eggrolls","0.6","56","NA","NA"
"P648615","65cd164122345f20629bede9","fixedChoice",1,"Which would you prefer?","85% Chance of $33","100% Chance of $28","B","money","0.85","28","NA","NA"
"P648615","65cd164122345f20629bede9","fixedChoice",21,"Which would you prefer?","30% Chance of $66 worth of eggrolls","100% Chance of $56 worth of eggrolls","B","eggrolls","0.3","56","NA","NA"
"P648615","65cd164122345f20629bede9","fixedChoice",12,"Which would you prefer?","30% Chance of $66","100% Chance of $20","B","money","0.3","20","NA","NA"
"P648615","65cd164122345f20629bede9","fixedChoice",23,"Which would you prefer?","60% Chance of $66 worth of eggrolls","100% Chance of $20 worth of eggrolls","B","eggrolls","0.6","20","NA","NA"
"P648615","65cd164122345f20629bede9","fixedChoice",17,"Which would you prefer?","60% Chance of $33 worth of eggrolls","100% Chance of $10 worth of eggrolls","B","eggrolls","0.6","10","NA","NA"
"P648615","65cd164122345f20629bede9","fixedChoice",15,"Which would you prefer?","30% Chance of $33 worth of eggrolls","100% Chance of $28 worth of eggrolls","B","eggrolls","0.3","28","NA","NA"
"P648615","65cd164122345f20629bede9","discountingTrial","","Which would you prefer?","eggrolls5","100% chance of eggrolls100","certain","eggrolls100 Discounting",1,5,0,1.5625
"P648615","65cd164122345f20629bede9","discountingTrial","","Which would you prefer?","eggrolls25","100% chance of eggrolls100","certain","eggrolls100 Discounting",1,25,1,1.5625
"P648615","65cd164122345f20629bede9","discountingTrial","","Which would you prefer?","eggrolls12.5","100% chance of eggrolls100","certain","eggrolls100 Discounting",1,12.5,2,1.5625
"P648615","65cd164122345f20629bede9","discountingTrial","","Which would you prefer?","eggrolls6.25","100% chance of eggrolls100","certain","eggrolls100 Discounting",1,6.25,3,1.5625
"P648615","65cd164122345f20629bede9","discountingTrial","","Which would you prefer?","eggrolls3.125","100% chance of eggrolls100","certain","eggrolls100 Discounting",1,3.125,4,1.5625
"P648615","65cd164122345f20629bede9","discountingTrial","","Which would you prefer?","eggrolls50","75% chance of eggrolls100","certain","eggrolls100 Discounting",0.75,50,0,1.5625
"P648615","65cd164122345f20629bede9","discountingTrial","","Which would you prefer?","eggrolls25","75% chance of eggrolls100","certain","eggrolls100 Discounting",0.75,25,1,1.5625
"P648615","65cd164122345f20629bede9","discountingTrial","","Which would you prefer?","eggrolls12.5","75% chance of eggrolls100","certain","eggrolls100 Discounting",0.75,12.5,2,1.5625
