participantId,eventType,questionId,question,optionA,optionB,choice,taskLabel,probability,certainAmount,trialIndex,indifferencePoint
"P9708","fixedChoice",1,"Which would you prefer?","85% Chance of $33","100% Chance of $28","B","","","","",""
"P9708","fixedChoice",6,"Which would you prefer?","30% Chance of $33","100% Chance of $10","A","","","","",""
"P9708","fixedChoice",13,"Which would you prefer?","85% Chance of $33 worth of Burrito","100% Chance of $28 worth of Burrito","B","","","","",""
"P9708","fixedChoice",11,"Which would you prefer?","60% Chance of $66","100% Chance of $20","A","","","","",""
"P9708","fixedChoice",23,"Which would you prefer?","60% Chance of $66 worth of Burrito","100% Chance of $20 worth of Burrito","B","","","","",""
"P9708","fixedChoice",2,"Which would you prefer?","60% Chance of $33","100% Chance of $28","B","","","","",""
"P9708","fixedChoice",10,"Which would you prefer?","85% Chance of $66","100% Chance of $20","A","","","","",""
"P9708","fixedChoice",15,"Which would you prefer?","30% Chance of $33 worth of Burrito","100% Chance of $28 worth of Burrito","B","","","","",""
"P9708","fixedChoice",20,"Which would you prefer?","60% Chance of $66 worth of Burrito","100% Chance of $56 worth of Burrito","B","","","","",""
"P9708","fixedChoice",16,"Which would you prefer?","85% Chance of $33 worth of Burrito","100% Chance of $10 worth of Burrito","A","","","","",""
"P9708","fixedChoice",18,"Which would you prefer?","30% Chance of $33 worth of Burrito","100% Chance of $10 worth of Burrito","B","","","","",""
"P9708","fixedChoice",5,"Which would you prefer?","60% Chance of $33","100% Chance of $10","A","","","","",""
"P9708","fixedChoice",4,"Which would you prefer?","85% Chance of $33","100% Chance of $10","A","","","","",""
"P9708","fixedChoice",8,"Which would you prefer?","60% Chance of $66","100% Chance of $56","B","","","","",""
"P9708","fixedChoice",3,"Which would you prefer?","30% Chance of $33","100% Chance of $28","B","","","","",""
"P9708","fixedChoice",9,"Which would you prefer?","30% Chance of $66","100% Chance of $56","B","","","","",""
"P9708","fixedChoice",22,"Which would you prefer?","85% Chance of $66 worth of Burrito","100% Chance of $20 worth of Burrito","B","","","","",""
"P9708","fixedChoice",17,"Which would you prefer?","60% Chance of $33 worth of Burrito","100% Chance of $10 worth of Burrito","A","","","","",""
"P9708","fixedChoice",7,"Which would you prefer?","85% Chance of $66","100% Chance of $56","B","","","","",""
"P9708","fixedChoice",12,"Which would you prefer?","30% Chance of $66","100% Chance of $20","A","","","","",""
"P9708","fixedChoice",24,"Which would you prefer?","30% Chance of $66 worth of Burrito","100% Chance of $20 worth of Burrito","B","","","","",""
"P9708","fixedChoice",21,"Which would you prefer?","30% Chance of $66 worth of Burrito","100% Chance of $56 worth of Burrito","B","","","","",""
"P9708","fixedChoice",14,"Which would you prefer?","60% Chance of $33 worth of Burrito","100% Chance of $28 worth of Burrito","B","","","","",""
"P9708","fixedChoice",19,"Which would you prefer?","85% Chance of $66 worth of Burrito","100% Chance of $56 worth of Burrito","B","","","","",""
"P9708","discountingTrial","","Which would you prefer?","Burrito50","100% chance of Burrito100","certain","Burrito100 Discounting",1,50,0,10.9375
"P9708","discountingTrial","","Which would you prefer?","Burrito25","100% chance of Burrito100","certain","Burrito100 Discounting",1,25,1,10.9375
"P9708","discountingTrial","","Which would you prefer?","Burrito25","100% chance of Burrito100","certain","Burrito100 Discounting",1,25,2,10.9375
"P9708","discountingTrial","","Which would you prefer?","Burrito12.5","100% chance of Burrito100","certain","Burrito100 Discounting",1,12.5,3,10.9375
"P9708","discountingTrial","","Which would you prefer?","Burrito12.5","100% chance of Burrito100","certain","Burrito100 Discounting",1,12.5,4,10.9375
"P9708","discountingTrial","","Which would you prefer?","Burrito6.25","100% chance of Burrito100","","Burrito100 Discounting",1,6.25,5,10.9375
"P9708","discountingTrial","","Which would you prefer?","Burrito6.25","100% chance of Burrito100","","Burrito100 Discounting",1,6.25,6,10.9375
"P9708","discountingTrial","","Which would you prefer?","Burrito3.125","100% chance of Burrito100","","Burrito100 Discounting",1,3.125,7,10.9375
"P9708","discountingTrial","","Which would you prefer?","Burrito3.125","100% chance of Burrito100","","Burrito100 Discounting",1,3.125,8,10.9375
"P9708","discountingTrial","","Which would you prefer?","Burrito50","75% chance of Burrito100","certain","Burrito100 Discounting",0.75,50,0,10.9375
"P9708","discountingTrial","","Which would you prefer?","Burrito25","75% chance of Burrito100","certain","Burrito100 Discounting",0.75,25,1,10.9375
"P9708","discountingTrial","","Which would you prefer?","Burrito25","75% chance of Burrito100","certain","Burrito100 Discounting",0.75,25,2,10.9375
"P9708","discountingTrial","","Which would you prefer?","Burrito12.5","75% chance of Burrito100","probabilistic","Burrito100 Discounting",0.75,12.5,3,10.9375
"P9708","discountingTrial","","Which would you prefer?","Burrito12.5","75% chance of Burrito100","certain","Burrito100 Discounting",0.75,12.5,4,10.9375
"P9708","discountingTrial","","Which would you prefer?","Burrito6.25","75% chance of Burrito100","","Burrito100 Discounting",0.75,6.25,5,10.9375
"P9708","discountingTrial","","Which would you prefer?","Burrito6.25","75% chance of Burrito100","","Burrito100 Discounting",0.75,6.25,6,10.9375
"P9708","discountingTrial","","Which would you prefer?","Burrito9.375","75% chance of Burrito100","","Burrito100 Discounting",0.75,9.375,7,10.9375
